City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,sola,-13.8833,167.55,27.05,72,60,7.54,VU,1731381088
88,st. paul,44.9444,-93.0933,2.34,73,0,2.06,US,1731381116
89,ilulissat,69.2167,-51.1,-3.99,86,100,6.36,GL,1731381608
90,papatowai,-46.5619,169.4708,15.84,49,68,4.31,NZ,1731381609
91,saint-francois,46.4154,3.9054,5.69,93,75,3.09,FR,1731381610
92,bukama,-9.2,25.85,20.08,91,82,1.27,CD,1731381612
93,viedma,-40.8135,-62.9967,14.74,26,100,3.96,AR,1731381613
94,porbandar,21.6422,69.6093,27.12,39,0,2.52,IN,1731381614
95,invercargill,-46.4,168.35,15.01,69,85,6.71,NZ,1731381615
96,alotau,-10.3069,150.4462,30.17,67,100,2.96,PG,1731381616
97,puerto ayora,-0.7393,-90.3518,21.97,87,38,1.79,EC,1731381429
98,enewetak,11.3474,162.3373,28.63,78,2,6.23,MH,1731381618
99,bodo,67.28,14.405,7.01,83,75,8.75,NO,1731381619
100,shiqian,27.5225,108.2281,20.37,60,53,1.93,CN,1731381620
101,taulaga,-11.0553,-171.0883,28.71,70,80,5.46,AS,1731381621
102,keflavik,64.0049,-22.5624,10.24,100,100,16.46,IS,1731381623
103,ko pha ngan,9.7578,100.0291,27.38,71,100,1.25,TH,1731381624
104,saint-joseph,-21.3667,55.6167,23.21,82,40,4.96,RE,1731381625
105,menongue,-14.6585,17.691,16.59,96,100,1.79,AO,1731381027
106,san antonio de pale,-1.4014,5.6325,25.79,85,48,4.92,GQ,1731381627
107,kokshetau,53.2775,69.3883,-13.37,96,88,4.54,KZ,1731381628
108,larkird,35.4894,66.6641,6.11,23,8,2.73,AF,1731381629
109,ushuaia,-54.8,-68.3,6.81,87,40,2.57,AR,1731381630
110,olonkinbyen,70.9221,-8.7187,1.0,98,100,11.46,SJ,1731381631
111,wenling,28.3669,121.36,20.0,76,4,5.14,CN,1731381634
112,san andres,12.5847,-81.7006,25.01,100,20,0.0,CO,1731381635
113,zuwarah,32.9312,12.082,18.61,73,0,2.56,LY,1731381636
114,shihezi,44.3,86.0333,5.83,62,98,0.87,CN,1731381637
115,ribeira grande,38.5167,-28.7,20.99,95,100,8.49,PT,1731381638
116,egilsstadir,65.2653,-14.3948,9.24,97,100,8.92,IS,1731381639
117,yagoua,10.3411,15.2329,23.28,33,6,2.92,CM,1731381640
118,villa ojo de agua,-29.5,-63.6938,12.24,62,33,3.53,AR,1731381642
119,ventnor,50.5948,-1.2037,5.38,91,29,0.45,GB,1731381643
120,bargaal,11.2864,51.0773,24.75,74,14,2.66,SO,1731381644
121,marte,12.3611,13.8246,24.37,57,1,4.57,NG,1731381645
122,aykhal,66.0,111.5,-15.55,99,100,2.42,RU,1731381646
123,mar del plata,-38.0023,-57.5575,10.41,82,2,4.47,AR,1731381124
124,vikhorevka,56.1201,101.1636,-1.19,74,100,2.01,RU,1731381648
125,delcevo,41.9672,22.7694,1.62,100,100,1.49,MK,1731381649
126,westport,41.1415,-73.3579,12.21,69,0,1.34,US,1731381531
127,bemidji,47.4736,-94.8803,-4.95,100,0,1.54,US,1731381533
128,tutoia,-2.7619,-42.2744,25.92,80,100,4.02,BR,1731381653
129,tallahassee,30.4383,-84.2807,22.23,98,100,0.0,US,1731380822
130,remire-montjoly,4.9167,-52.2667,24.02,94,100,2.57,GF,1731381649
131,nazyvayevsk,55.5698,71.3529,-11.19,93,100,5.16,RU,1731381656
132,souillac,-20.5167,57.5167,25.21,69,75,3.6,MU,1731381657
133,port lincoln,-34.7333,135.8667,20.82,62,2,6.63,AU,1731381658
134,tank,32.2217,70.3793,22.29,30,3,1.46,PK,1731381659
135,saynshand,44.8824,110.1163,3.56,45,0,6.64,MN,1731381660
136,la ronge,55.1001,-105.2842,1.74,70,100,6.89,CA,1731381661
137,dunedin,-45.8742,170.5036,12.39,65,10,4.39,NZ,1731381628
138,coro,11.4045,-69.6734,26.51,86,88,1.72,VE,1731381664
139,floro,61.5996,5.0328,6.98,93,100,3.09,NO,1731381665
140,port augusta,-32.5,137.7667,27.77,41,0,1.8,AU,1731381666
141,mount gambier,-37.8333,140.7667,20.55,61,99,2.8,AU,1731381667
142,nemuro,43.3236,145.575,9.01,75,100,7.21,JP,1731381668
143,tazovsky,67.4667,78.7,-24.19,95,87,5.37,RU,1731381669
